prompt,completion
#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis,0
"Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.",1
God we need a new goal keeper! They’re both horrific.,1
@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare,0
"@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't ",0
"Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky",0
wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced,0
I am worried that she felt safe. #unhappy,0
@DaltonRapattoni sadly i have to go to bed now don't announce anything while i'm gone thank u i love you,0
"I look at some of the average players that play at the min and pine Nani, Rafael , RVP ,",0
#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the ,1
"@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. ",0
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,1
Nothing worse than an uber driver that can't drive. #awful,1
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",1
Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.,0
@RIPPoohSavage u know ion play that shit bout my weary brother,1
@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,1
Happy Birthday @Brooke56_56 #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer,0
"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",1
Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.,1
